typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw
galerie,galerie.46,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.21,1.248,Verwehungs - Holzgalerie,B198 G02,1939,,5.8
galerie,galerie.2,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.706,1.764,Steinbruchgalerie,B198 G06,1999,,5.8
galerie,galerie.6,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.048,2.092,Hölltobel Lawinengalerie,B198 G09,2009,,5.8
galerie,galerie.9,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.518,1.706,Galerie Große Dohle,B198 G05,2005,,5.8
galerie,galerie.11,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.092,2.131,Hölltobelgalerie Verlängerung 1981,B198 G09a,1981,,5.8
galerie,galerie.14,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.034,1.172,Leerle Holzgalerie,B198 G01,1934,,5.8
galerie,galerie.22,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,6.413,7.843,Monzabongalerie,B198 G17,1975,,5.8
galerie,galerie.24,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.537,2.585,Gafeli Galerie Verlängerung,B198 G16,1986,,5.8
galerie,galerie.26,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.357,2.371,Flexentor Naturstein,B198 G12,1964,,5.8
galerie,galerie.27,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.271,2.301,Steinschlaggalerie Gafeli,B198 G11,1970,,5.8
galerie,galerie.28,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.47,2.537,Gafeli Tunnelgalerie,B198 G15,1970,,5.8
galerie,galerie.30,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.168,2.271,Galerie Weißer Tunnel,B198 G10,1980,,5.8
galerie,galerie.31,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.395,2.425,Flexentorgalerie,B198 G13,1965,,5.8
galerie,galerie.33,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.248,1.355,Holzgalerie Hohe Seite,B198 G03,1988,,5.8
galerie,galerie.38,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.355,1.518,Tunnelgalerie Hohe Seite,B198 G04,1952,,5.8
galerie,galerie.40,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,1.854,2.003,Höllwandgalerie,B198 G08,2007,,5.8
galerie,galerie.41,8    -L 198 -    -,L198,Lechtalstraße,RFB 1,2.431,2.47,Gafeli Galerie,B198 G14,1972,,5.8
galerie,galerie.5,8    -L   2 -    -,L2,Langener Straße,RFB 1,6.259,6.338,Steinschlaggalerie,L002 G01,1971,,7.8
galerie,galerie.1,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,40.543,40.605,Galerie Fluhfelsen - Verlängerung 1987,B200 G02a,1987,,6
galerie,galerie.3,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,49.816,49.892,Riesegalerie Verlängerung,B200 G04,1984,,8
galerie,galerie.4,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,50.616,50.721,Schrofengalerie,B200 G06,1963,,7
galerie,galerie.7,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,61.548,61.772,Lärchengalerie Verlängerung,B200 G18,1989,,7
galerie,galerie.10,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,29.118,29.392,Klauserwald Galerie,B200 G01,1980,,7
galerie,galerie.15,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,60.977,61.371,Holzbodengalerie,B200 G09,1977,,7
galerie,galerie.17,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,51.367,51.44,Immaschmiedlerloch,B200 G08,1971,,7
galerie,galerie.18,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,49.689,49.816,Riesegalerie,B200 G03,1979,,7
galerie,galerie.19,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,50.462,50.509,Schrofengalerie Verlängerung Nord,B200 G13,2000,,7
galerie,galerie.20,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,61.474,61.548,Lärchengalerie,B200 G10,1977,,10
galerie,galerie.21,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,40.343,40.543,Galerie Fluhfelsen,B200 G02,1968,,4
galerie,galerie.29,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,61.908,62.131,Birkengalerie,B200 G12,1968,,10
galerie,galerie.32,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,61.772,61.908,Töbelegalerie,B200 G11,1977,,10
galerie,galerie.34,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,51.28,51.367,Plattensteg Lawinengalerie,B200 G15,2000,,8
galerie,galerie.36,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,50.721,50.82,Schrofengalerie Verlängerung Süd,B200 G14,2000,,8
galerie,galerie.39,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,50.981,51.204,Alter Stall,B200 G07,1969,,8
galerie,galerie.42,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,49.892,49.98,Hummelwaldgalerie,B200 G05,1979,,8
galerie,galerie.43,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,51.567,51.701,Sulztobel Lawinengalerie,B200 G16,2001,,10
galerie,galerie.44,8    -L 200 -    -,L200,Bregenzerwaldstraße,RFB 1,61.371,61.474,Holzbodengalerie Verlängerung,B200 G17,1989,,10
galerie,galerie.37,8    -L 201 -    -,L201,Kleinwalsertalstraße,RFB 1,11.799,11.868,Galerie Baad,B201 G01,1974,,4
galerie,galerie.25,8    -L  51 -    -,L51,Laternser Straße,RFB 1,4.895,5.003,Galerie Schwarze Rüfe,L051 G01,1981,,4
