typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.303,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,61,61.998,Lochauerbachbrücke,B190 060,1935.0,9.0,,998.0,87.0,,True
bruecke,bruecke.345,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,30,30.678,Frutzbrücke,B190 026,2012.0,9.0,,678.0,10.0,,False
bruecke,bruecke.348,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,42,42.801,Brücke über die Schollenstraße,B190 033,1984.0,9.0,,801.0,38.0,,True
bruecke,bruecke.354,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,16,16.911,Fußgängerunterführung Galina,B190 011,1994.0,9.0,,911.0,28.0,,True
bruecke,bruecke.362,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,51,51.925,Neumahdfeldbachbrücke (Weitriedgraben),B190 047,1930.0,9.0,,925.0,92.0,,True
bruecke,bruecke.363,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0.982,Fußgängerbrücke über die ÖBB Bludenz,B190 002a,1970.0,9.0,,982.0,52.0,,True
bruecke,bruecke.368,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,19,19.634,Unterführung der L54,B190 067,1989.0,9.0,,634.0,33.0,,True
bruecke,bruecke.371,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,53,53.262,Wolfurter Landgrabendurchlass,B190 051,2017.0,9.0,,262.0,5.0,,False
bruecke,bruecke.380,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,63,63.154,Mühlbachbrücke 2,B190 062,1997.0,9.0,,154.0,25.0,,True
bruecke,bruecke.388,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,31,31.383,Ratzbachbrücke,B190 028,2016.0,9.0,,383.0,6.0,,False
bruecke,bruecke.411,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,50,50.444,Haselstauderbachbrücke,B190 043,1956.0,9.0,,444.0,66.0,,True
bruecke,bruecke.416,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0.942,Brücke über die ÖBB Bludenz,B190 002,1997.0,9.0,,942.0,25.0,,True
bruecke,bruecke.418,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0.942,Oberlochauerbachbrücke,B190 091,2022.0,9.0,,942.0,0.0,,False
bruecke,bruecke.433,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,52,52.153,Hohe Brücke,B190 049,1990.0,9.0,,153.0,32.0,,True
bruecke,bruecke.440,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,62,62.722,Ruggbachbrücke,B190 061,1935.0,9.0,,722.0,87.0,,True
bruecke,bruecke.459,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,56,56.897,Fußgängerunterführung Losergasse,B190 054,1970.0,9.0,,897.0,52.0,,True
bruecke,bruecke.465,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,20,20.177,Saminabrücke,B190 014,1987.0,9.0,,177.0,35.0,,True
bruecke,bruecke.477,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,47,47.153,Sägerbrücke,B190 036,2014.0,9.0,,153.0,8.0,,False
bruecke,bruecke.491,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,47,48.115,Tiefgarage Dornbirn,B190 081,2008.0,9.0,,1115.0,14.0,,False
bruecke,bruecke.509,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,34,34.111,Kalkofenbachdurchlass,B190 080,2008.0,9.0,,111.0,14.0,,False
bruecke,bruecke.514,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,11,11.96,Nasotbrücke über den Gemeindeweg,B190 006,1934.0,9.0,,960.0,88.0,,True
bruecke,bruecke.519,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,26,26.569,Naflabrücke,B190 024,1966.0,9.0,,569.0,56.0,,True
bruecke,bruecke.525,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,16,16.22,Düker Walgaukraftwerk,B190 009,1981.0,9.0,,220.0,41.0,,True
bruecke,bruecke.542,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58,58.748,Fußgängerunterführung Tourismushaus 1,B190 076,1996.0,9.0,,748.0,26.0,,True
bruecke,bruecke.554,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,57,57.671,Überführung der L190 über den Citytunnel,A 14 T02,2022.0,9.0,,671.0,0.0,,False
bruecke,bruecke.570,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,45,45.332,Fußgängerunterführung Wallenmahd,B190 035,1971.0,9.0,,332.0,51.0,,True
bruecke,bruecke.590,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,35,35.48,Emmebachbrücke,B190 030,1960.0,9.0,,480.0,62.0,,True
bruecke,bruecke.597,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58,58.782,Fußgängerunterführung Tourismushaus 2,B190 077,1996.0,9.0,,782.0,26.0,,True
bruecke,bruecke.603,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,23,23.41,Fußgängerunterführung Schloßgraben,B190 020,1975.0,9.0,,410.0,47.0,,True
